Image,MSE_Gaussian,PSNR_Gaussian,MSE_Median,PSNR_Median
5.pgm,135.0486,26.82590274494949,203.3171,25.049064543236675
6.pgm,97.2961,28.24984928435375,133.8509,26.864590651826905
7.pgm,132.1032,26.921670229997137,200.3058,25.113868360799444
8.pgm,98.9271,28.177650827361944,138.9841,26.70115241745001
9.pgm,130.909,26.961108555243808,204.1827,25.030614184785335
10.pgm,103.057,28.000028649164335,148.137,26.4241681558837
1.pgm,71.0327,29.616220380610486,94.8198,28.36181325925765
2.pgm,70.7301,29.63476088768533,92.2113,28.48296216094784
3.pgm,73.3567,29.476405747929945,95.6212,28.325261712873893
4.pgm,85.5066,28.81080722947276,116.2407,27.477221442542877
5.pgm,86.8172,28.74474585863254,120.7701,27.311209349629753
6.pgm,86.5508,28.758092743990762,116.7835,27.45698873957533
7.pgm,80.6911,29.06254724956776,109.3789,27.741468094132387
8.pgm,82.6968,28.955916562637334,116.0062,27.485991599700238
9.pgm,73.8848,29.445252588073785,93.448,28.425103499444837
10.pgm,69.4329,29.71515056079521,94.356,28.383108391540226
1.pgm,73.3033,29.479568345278707,97.6627,28.233516341730095
2.pgm,67.2903,29.851278963480986,87.2121,28.725036167762656
3.pgm,73.2471,29.482899260933586,95.3268,28.33865346317042
4.pgm,68.9197,29.747369825247134,86.6774,28.751744852458355
5.pgm,68.3867,29.7810871350816,86.8949,28.740860731057168
6.pgm,74.5459,29.406565984758295,96.1404,28.301744361537992
7.pgm,65.9709,29.9372795193726,82.0763,28.98862590656234
8.pgm,71.573,29.583311397118138,89.9473,28.59092229458716
9.pgm,70.8247,29.628956172606173,86.6395,28.753644235741405
10.pgm,75.4341,29.35512647703404,98.6538,28.189665425696457
1.pgm,95.3365,28.33821156832457,133.5531,26.87426387662382
2.pgm,126.1297,27.122629981063216,188.2227,25.384083619135495
3.pgm,139.2052,26.694249022519486,200.0733,25.11891225436893
4.pgm,138.5618,26.714368444149777,198.7251,25.14827636671765
5.pgm,132.4433,26.910503676316168,187.7844,25.394208500162144
6.pgm,94.8318,28.361263668978445,132.0784,26.922485616321
7.pgm,71.9661,29.55952392908395,99.812,28.138976029423702
8.pgm,91.5154,28.515861785800656,130.5688,26.972409481449475
9.pgm,69.3058,29.723107798983538,96.4651,28.28710142020311
10.pgm,140.4118,26.65676754074513,202.1947,25.073105933464646
1.pgm,118.5942,27.390169110436233,175.9346,25.677291029261827
2.pgm,117.4111,27.43371203982977,171.0265,25.800169527441863
3.pgm,110.6345,27.6918978341798,159.7221,26.097153492753847
4.pgm,113.1443,27.594476809766398,164.9743,25.956640665783013
5.pgm,109.9124,27.72033669829407,158.4685,26.131374137826363
6.pgm,114.9458,27.52587253641454,168.2455,25.871369037300184
7.pgm,114.4207,27.545757605145816,165.104,25.953227657584538
8.pgm,113.4825,27.581514662058034,164.0209,25.981811702814653
9.pgm,109.4416,27.738979272037515,151.9503,26.3137879901058
10.pgm,111.357,27.663628385026055,160.1385,26.085846046671215
1.pgm,86.5048,28.76040154493544,125.8687,27.13162614138074
2.pgm,82.9145,28.944498747166048,120.34,27.326703537122732
3.pgm,87.6135,28.70509330912367,126.5894,27.10683019438086
4.pgm,87.0916,28.73104091618812,126.3945,27.11352184640053
